system_condition,count,mean,std,min,max,grouping,gender_condition,ethnicity_condition,age_condition
baseline_llm,1800,23.946666666666665,16.279599629326313,1.25,67.0,system_condition,,,
grounded_rag,1800,28.127916666666668,16.027352673914013,2.25,65.0,system_condition,,,
baseline_llm,900,24.154722222222222,16.36631019774886,2.0,67.0,system_condition + gender_condition,female,,
baseline_llm,900,23.738611111111112,16.19885021681875,1.25,66.25,system_condition + gender_condition,male,,
grounded_rag,900,28.440833333333334,16.126758619641954,2.25,65.0,system_condition + gender_condition,female,,
grounded_rag,900,27.815,15.93014148321335,2.25,63.75,system_condition + gender_condition,male,,
baseline_llm,900,23.9175,16.29229541036493,1.25,66.25,system_condition + ethnicity_condition,,majority,
baseline_llm,900,23.975833333333334,16.275900446513788,1.25,67.0,system_condition + ethnicity_condition,,minority,
grounded_rag,900,27.982777777777777,15.990889475704579,2.25,64.5,system_condition + ethnicity_condition,,majority,
grounded_rag,900,28.273055555555555,16.071312301264808,2.25,65.0,system_condition + ethnicity_condition,,minority,
baseline_llm,900,24.134722222222223,16.55152075153834,1.25,67.0,system_condition + age_condition,,,older
baseline_llm,900,23.75861111111111,16.010055612527644,1.25,66.25,system_condition + age_condition,,,younger
grounded_rag,900,28.3125,16.14897524359494,2.25,65.0,system_condition + age_condition,,,older
grounded_rag,900,27.94333333333333,15.911636733449633,2.25,63.75,system_condition + age_condition,,,younger
baseline_llm,225,24.27,16.756649799407995,2.5,66.25,system_condition + gender_condition + ethnicity_condition + age_condition,female,majority,older
baseline_llm,225,24.031111111111112,16.103620547630378,2.0,63.75,system_condition + gender_condition + ethnicity_condition + age_condition,female,majority,younger
baseline_llm,225,24.448888888888888,16.82376975206909,2.5,67.0,system_condition + gender_condition + ethnicity_condition + age_condition,female,minority,older
baseline_llm,225,23.86888888888889,15.86388914076983,2.5,65.0,system_condition + gender_condition + ethnicity_condition + age_condition,female,minority,younger
baseline_llm,225,23.814444444444444,16.255210779321153,2.5,65.0,system_condition + gender_condition + ethnicity_condition + age_condition,male,majority,older
baseline_llm,225,23.554444444444446,16.14577089081628,1.25,62.5,system_condition + gender_condition + ethnicity_condition + age_condition,male,majority,younger
baseline_llm,225,24.005555555555556,16.46774519915961,1.25,64.5,system_condition + gender_condition + ethnicity_condition + age_condition,male,minority,older
baseline_llm,225,23.58,16.02760732076287,3.75,66.25,system_condition + gender_condition + ethnicity_condition + age_condition,male,minority,younger
grounded_rag,225,28.613333333333333,16.15088039395995,2.25,64.5,system_condition + gender_condition + ethnicity_condition + age_condition,female,majority,older
grounded_rag,225,28.137777777777778,16.08266922820862,2.5,63.25,system_condition + gender_condition + ethnicity_condition + age_condition,female,majority,younger
grounded_rag,225,28.764444444444443,16.40632439514501,2.25,65.0,system_condition + gender_condition + ethnicity_condition + age_condition,female,minority,older
grounded_rag,225,28.247777777777777,15.963616401402,2.5,60.75,system_condition + gender_condition + ethnicity_condition + age_condition,female,minority,younger
grounded_rag,225,27.645555555555557,16.10954693590601,2.25,63.75,system_condition + gender_condition + ethnicity_condition + age_condition,male,majority,older
grounded_rag,225,27.534444444444443,15.700271630321332,2.25,63.75,system_condition + gender_condition + ethnicity_condition + age_condition,male,majority,younger
grounded_rag,225,28.226666666666667,16.011375002300262,2.25,62.5,system_condition + gender_condition + ethnicity_condition + age_condition,male,minority,older
grounded_rag,225,27.85333333333333,15.99426655086128,2.5,62.5,system_condition + gender_condition + ethnicity_condition + age_condition,male,minority,younger
